id,complication_in_preparing,time_consuming,no_restuarants_for_grab_n_go,easy_access,have_to_prepare_both_vegatrain_and_non_vegetarian,hard_time_grocery_shopping,difficult_during_time_of_transition
5369.0,5,3,5,1,5,1,5
5392.0,1,1,1,1,5,1,1
5395.0,5,5,5,5,1,1,5
5400.0,1,1,1,1,1,1,1
5402.0,1,1,1,1,5,1,1
5404.0,3,3,5,5,5,1,5
5420.0,1,3,3,1,1,3,1
5422.0,1,1,1,5,1,1,1
5428.0,3,5,5,1,1,1,1
5437.0,1,1,1,1,1,1,1
5449.0,5,5,5,5,5,5,5
5453.0,1,1,1,5,1,1,1
5480.0,1,1,3,3,1,1,3
5483.0,3,5,1,1,1,5,3
5503.0,5,5,1,1,5,1,1
5506.0,5,5,1,5,5,1,3
5514.0,1,1,1,5,1,1,1
5516.0,3,1,3,1,1,1,5
5522.0,5,5,5,3,3,1,5
5523.0,3,1,1,1,5,1,1
5541.0,5,5,5,1,5,1,5
5556.0,1,1,3,3,1,1,3
5564.0,1,1,5,1,5,1,1
5565.0,5,5,5,5,1,1,5
5582.0,1,1,5,1,5,1,5
5598.0,5,3,5,5,5,1,3
5607.0,1,1,5,1,1,1,1
5611.0,5,5,5,5,5,1,5
5613.0,1,1,5,3,1,1,1
5620.0,1,3,3,1,3,1,3
5639.0,3,3,3,3,1,5,1
5643.0,1,3,3,5,3,1,5
5646.0,1,1,1,1,1,1,1
5648.0,1,1,5,1,1,5,3
5649.0,1,1,5,1,1,1,3
5650.0,5,5,5,1,5,1,5
5663.0,5,3,5,5,1,5,3
5674.0,3,3,3,3,3,3,3
5677.0,1,1,1,1,1,1,1
5690.0,1,1,1,5,1,1,1
5691.0,1,1,1,1,1,1,1
5693.0,5,5,5,1,5,5,5
5694.0,1,1,1,1,1,1,1
5708.0,5,5,5,3,1,1,1
5711.0,3,1,3,1,3,5,3
5722.0,5,5,5,1,3,1,5
5729.0,3,3,3,3,3,3,3
5731.0,1,1,3,1,1,5,5
5737.0,1,1,1,1,5,1,1
5741.0,1,3,5,1,1,1,5
5763.0,1,5,5,5,5,1,5
5779.0,3,3,5,5,1,5,5
5795.0,1,1,5,1,1,1,5
5805.0,3,5,5,3,5,1,3
5830.0,3,5,5,1,3,1,5
5848.0,5,5,1,5,5,1,5
5849.0,5,5,5,1,5,3,3
5850.0,1,1,5,1,1,1,1
5852.0,1,1,1,5,1,1,1
5856.0,1,1,3,3,1,1,1
5862.0,1,1,1,3,1,1,1
5865.0,1,1,5,5,5,1,1
5879.0,1,1,1,1,5,1,1
5883.0,1,1,3,3,3,1,1
5884.0,1,1,1,5,1,1,1
5885.0,1,1,1,1,1,1,1
5888.0,5,5,5,1,5,5,5
5895.0,1,1,5,1,1,1,5
5908.0,1,1,1,1,1,1,1
5927.0,3,3,3,3,1,1,3
5937.0,1,1,3,1,1,1,1
5942.0,5,5,5,1,5,5,5
5970.0,3,3,3,3,3,3,3
5971.0,1,1,3,1,5,1,5
5979.0,5,1,5,5,5,1,1
5988.0,3,3,3,3,3,3,3
5989.0,3,3,5,3,5,1,5
5998.0,1,1,1,1,1,1,1
6007.0,1,1,1,1,1,1,1
6020.0,1,1,1,1,1,1,1
6024.0,5,3,5,1,5,1,5
6039.0,3,1,5,5,1,1,5
6048.0,1,3,3,5,1,1,3
6056.0,1,1,5,1,3,3,5
6063.0,1,1,1,1,5,1,1
6065.0,1,1,1,1,1,1,1
6086.0,3,3,3,1,3,3,3
6089.0,1,3,5,1,5,1,5
6091.0,1,1,1,3,3,1,1
6108.0,1,1,5,1,1,1,1
6127.0,1,1,5,1,1,1,5
6130.0,1,1,5,3,3,5,3
6136.0,5,3,5,1,5,5,5
6150.0,5,5,5,5,1,1,1
6151.0,1,1,1,5,1,1,1
6175.0,3,5,5,3,5,3,3
6176.0,1,3,1,3,1,1,1
6177.0,1,1,1,1,1,1,1
6188.0,3,3,5,3,3,3,3
6198.0,1,1,5,1,1,1,1
6211.0,3,3,3,3,3,1,3
6213.0,1,1,1,5,1,1,1
6220.0,3,5,1,3,1,1,3
6236.0,5,1,5,1,1,1,1
6240.0,3,3,5,3,3,3,1
6252.0,1,1,5,1,1,1,1
6253.0,1,1,1,3,1,1,1
6254.0,1,1,1,1,1,1,1
6259.0,5,5,3,1,1,1,1
6261.0,3,5,3,1,1,1,1
6263.0,5,5,3,5,1,1,3
6266.0,1,1,1,1,1,1,1
6269.0,1,1,5,1,1,1,5
6284.0,1,1,5,1,1,3,1
6286.0,1,3,3,5,5,1,1
6299.0,3,5,1,1,5,1,1
6300.0,3,5,1,5,5,1,1
6301.0,5,5,5,5,5,1,5
6304.0,1,1,1,1,1,1,1
6308.0,5,5,5,5,1,1,5
